sequenceID,highPriorityPass,missingFields,eventID,materialSampleID,target_gene,target_subfragment,pcr_primer_forward,pcr_primer_reverse,seq_meth,otu_class_appr,otu_seq_comp_appr,otu_db,sop
ADV100-059-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-059-assay_control_failure,sample-ADV100-059-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-060-assay_control_failure,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-060-assay_control_failure,sample-ADV100-060-assay_control_failure,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-061-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-061-wrong_taxonomy_name_conflict,sample-ADV100-061-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-062-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-062-wrong_taxonomy_name_conflict,sample-ADV100-062-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-063-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-063-wrong_taxonomy_name_conflict,sample-ADV100-063-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-064-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-064-wrong_taxonomy_name_conflict,sample-ADV100-064-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-065-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-065-wrong_taxonomy_name_conflict,sample-ADV100-065-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-066-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-066-wrong_taxonomy_name_conflict,sample-ADV100-066-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-067-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-067-wrong_taxonomy_name_conflict,sample-ADV100-067-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-068-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-068-wrong_taxonomy_name_conflict,sample-ADV100-068-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-069-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-069-wrong_taxonomy_name_conflict,sample-ADV100-069-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-070-wrong_taxonomy_name_conflict,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-070-wrong_taxonomy_name_conflict,sample-ADV100-070-wrong_taxonomy_name_conflict,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-071-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-071-genome_segment_non_barcode_marker,sample-ADV100-071-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-072-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-072-genome_segment_non_barcode_marker,sample-ADV100-072-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-073-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-073-genome_segment_non_barcode_marker,sample-ADV100-073-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-074-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-074-genome_segment_non_barcode_marker,sample-ADV100-074-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-075-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-075-genome_segment_non_barcode_marker,sample-ADV100-075-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-076-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-076-genome_segment_non_barcode_marker,sample-ADV100-076-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-077-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-077-genome_segment_non_barcode_marker,sample-ADV100-077-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-078-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-078-genome_segment_non_barcode_marker,sample-ADV100-078-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-079-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-079-genome_segment_non_barcode_marker,sample-ADV100-079-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-080-genome_segment_non_barcode_marker,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-080-genome_segment_non_barcode_marker,sample-ADV100-080-genome_segment_non_barcode_marker,custom marker,user supplied marker,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-081-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-081-negative_barcode_gap,sample-ADV100-081-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-082-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-082-negative_barcode_gap,sample-ADV100-082-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-083-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-083-negative_barcode_gap,sample-ADV100-083-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-084-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-084-negative_barcode_gap,sample-ADV100-084-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-085-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-085-negative_barcode_gap,sample-ADV100-085-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-086-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-086-negative_barcode_gap,sample-ADV100-086-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-087-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-087-negative_barcode_gap,sample-ADV100-087-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-088-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-088-negative_barcode_gap,sample-ADV100-088-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-089-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-089-negative_barcode_gap,sample-ADV100-089-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-090-negative_barcode_gap,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-090-negative_barcode_gap,sample-ADV100-090-negative_barcode_gap,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-091-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-091-missing_diagnostic_kmer,sample-ADV100-091-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-092-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-092-missing_diagnostic_kmer,sample-ADV100-092-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-093-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-093-missing_diagnostic_kmer,sample-ADV100-093-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-094-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-094-missing_diagnostic_kmer,sample-ADV100-094-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-095-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-095-missing_diagnostic_kmer,sample-ADV100-095-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-096-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-096-missing_diagnostic_kmer,sample-ADV100-096-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-097-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-097-missing_diagnostic_kmer,sample-ADV100-097-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-098-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-098-missing_diagnostic_kmer,sample-ADV100-098-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-099-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-099-missing_diagnostic_kmer,sample-ADV100-099-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-100-missing_diagnostic_kmer,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,event-ADV100-100-missing_diagnostic_kmer,sample-ADV100-100-missing_diagnostic_kmer,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
