sequenceID,decisionClass,taxonomicStatus,publicationStatus,publicationStage,publicationBucket,exportState,referenceCompletenessStatus,markerProfile,assayType,candidateTaxon,candidateRank,publishedTaxon,publishedRank,matchType,topHit,identity,queryCoverage,barcodeGap,diagnosticKmerSupport,diagnosticPFalsePositive,blockers
COMP100-082-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-083-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-084-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-085-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-086-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-087-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-088-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-089-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-090-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-091-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-092-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-093-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-094-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-095-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-096-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-097-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-098-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-099-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-100-metadata_blocked,not-publishable,species-safe,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,not_measured_without_external_reference_audit,coi_full_barcode,single_specimen_barcode,Aedes albopictus,species,None,none,exact,Aedes albopictus,99.6,96.0,0.009,3,1.7e-06,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
